Account name,Date,Transaction type,Transaction number,Name,Description,Full name,Account name,Amount line,Balance
PayPal Fees,09/22/2023,Deposit,29J78079EY463291S,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.77,"$946,280.80"
PayPal Bank 3,09/22/2023,Deposit,62538682VW9006506,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 62538682VW9006506
https://www.paypal.com/activity/payment/62538682VW9006506",PayPal Bank 3,--,$96.62,"$946,377.42"
Donations directed by individuals,09/22/2023,Deposit,62538682VW9006506,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$946,477.42"
PayPal Fees,09/22/2023,Deposit,62538682VW9006506,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.38,"$946,480.80"
PayPal Bank 3,09/22/2023,Deposit,72565085SJ207243F,04 PAYPAL GENERAL UNRESTR,"Subject: Support Ukraine
Transaction ID: 72565085SJ207243F
https://www.paypal.com/activity/payment/72565085SJ207243F",PayPal Bank 3,--,$9.07,"$946,489.87"
Donations directed by individuals,09/22/2023,Deposit,72565085SJ207243F,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00,"$946,499.87"
PayPal Fees,09/22/2023,Deposit,72565085SJ207243F,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.93,"$946,500.80"
PayPal Bank 3,09/22/2023,Deposit,2C2669903U282674K,04 PAYPAL GENERAL UNRESTR,"Subject: Support Ukraine
Transaction ID: 2C2669903U282674K
https://www.paypal.com/activity/payment/2C2669903U282674K",PayPal Bank 3,--,$50.00,"$946,550.80"
Donations directed by individuals,09/22/2023,Deposit,2C2669903U282674K,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.99,"$946,602.79"
PayPal Fees,09/22/2023,Deposit,2C2669903U282674K,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.99,"$946,604.78"
PayPal Bank 3,09/22/2023,Deposit,17C80770MV596380R,04 PAYPAL GENERAL UNRESTR,"Subject: Support Ukraine
Transaction ID: 17C80770MV596380R
https://www.paypal.com/activity/payment/17C80770MV596380R",PayPal Bank 3,--,$24.61,"$946,629.39"
Donations directed by individuals,09/22/2023,Deposit,17C80770MV596380R,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$26.25,"$946,655.64"
PayPal Fees,09/22/2023,Deposit,17C80770MV596380R,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.64,"$946,657.28"
PayPal Bank 3,09/22/2023,Deposit,7D8785103J5355458,07 1000 DRONES RESTR,"Subject: 1000DRONES
Transaction ID: 7D8785103J5355458
https://www.paypal.com/activity/payment/7D8785103J5355458",PayPal Bank 3,--,$25.00,"$946,682.28"
Donations directed by individuals,09/22/2023,Deposit,7D8785103J5355458,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$26.25,"$946,708.53"
PayPal Fees,09/22/2023,Deposit,7D8785103J5355458,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.25,"$946,709.78"
PayPal Bank 3,09/22/2023,Deposit,97L26642WD961411A,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 97L26642WD961411A
https://www.paypal.com/activity/payment/97L26642WD961411A",PayPal Bank 3,--,$50.00,"$946,759.78"
Donations directed by individuals,09/22/2023,Deposit,97L26642WD961411A,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.99,"$946,811.77"
PayPal Fees,09/22/2023,Deposit,97L26642WD961411A,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.99,"$946,813.76"
PayPal Bank 3,09/22/2023,Deposit,8W779099GE117983G,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 8W779099GE117983G
https://www.paypal.com/activity/payment/8W779099GE117983G",PayPal Bank 3,--,$95.12,"$946,908.88"
Donations directed by individuals,09/22/2023,Deposit,8W779099GE117983G,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$947,008.88"
PayPal Fees,09/22/2023,Deposit,8W779099GE117983G,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.88,"$947,013.76"
PayPal Bank 3,09/22/2023,Deposit,82A68234JB691554M,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 82A68234JB691554M
https://www.paypal.com/activity/payment/82A68234JB691554M",PayPal Bank 3,--,$196.91,"$947,210.67"
Donations directed by individuals,09/22/2023,Deposit,82A68234JB691554M,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$206.46,"$947,417.13"
PayPal Fees,09/22/2023,Deposit,82A68234JB691554M,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$9.55,"$947,426.68"
PayPal Bank 3,09/22/2023,Deposit,8TL226657H2113203,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 8TL226657H2113203
https://www.paypal.com/activity/payment/8TL226657H2113203",PayPal Bank 3,--,$102.45,"$947,529.13"
Donations directed by individuals,09/22/2023,Deposit,8TL226657H2113203,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$106.00,"$947,635.13"
PayPal Fees,09/22/2023,Deposit,8TL226657H2113203,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.55,"$947,638.68"
PayPal Bank 3,09/22/2023,Deposit,7TJ06042CE980661U,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 7TJ06042CE980661U
https://www.paypal.com/activity/payment/7TJ06042CE980661U",PayPal Bank 3,--,$96.62,"$947,735.30"
Donations directed by individuals,09/22/2023,Deposit,7TJ06042CE980661U,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$947,835.30"
PayPal Fees,09/22/2023,Deposit,7TJ06042CE980661U,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.38,"$947,838.68"
PayPal Bank 3,09/22/2023,Deposit,0YF09188L07121309,04 PAYPAL GENERAL UNRESTR,"Subject: Support Ukraine
Transaction ID: 0YF09188L07121309
https://www.paypal.com/activity/payment/0YF09188L07121309",PayPal Bank 3,--,$47.31,"$947,885.99"
Donations directed by individuals,09/22/2023,Deposit,0YF09188L07121309,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$50.00,"$947,935.99"
PayPal Fees,09/22/2023,Deposit,0YF09188L07121309,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.69,"$947,938.68"
PayPal Bank 3,09/22/2023,Deposit,6XV42432H0870221R,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 6XV42432H0870221R
https://www.paypal.com/activity/payment/6XV42432H0870221R",PayPal Bank 3,--,$47.31,"$947,985.99"
Donations directed by individuals,09/22/2023,Deposit,6XV42432H0870221R,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$50.00,"$948,035.99"
PayPal Fees,09/22/2023,Deposit,6XV42432H0870221R,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.69,"$948,038.68"
PayPal Bank 3,09/22/2023,Deposit,99J37941UA659423P,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 99J37941UA659423P
https://www.paypal.com/activity/payment/99J37941UA659423P",PayPal Bank 3,--,$42.53,"$948,081.21"
Donations directed by individuals,09/22/2023,Deposit,99J37941UA659423P,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$45.00,"$948,126.21"
PayPal Fees,09/22/2023,Deposit,99J37941UA659423P,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.47,"$948,128.68"
PayPal Bank 3,09/22/2023,Deposit,5XV78737C3804783F,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 5XV78737C3804783F
https://www.paypal.com/activity/payment/5XV78737C3804783F",PayPal Bank 3,--,$295.36,"$948,424.04"
Donations directed by individuals,09/22/2023,Deposit,5XV78737C3804783F,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$309.43,"$948,733.47"
PayPal Fees,09/22/2023,Deposit,5XV78737C3804783F,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$14.07,"$948,747.54"
PayPal Bank 3,09/22/2023,Deposit,2LD77574LD387461G,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Note: For Angry Birds.   From Sasha Dovzhyk.   Slava Ukraini! Martin Lohrer
Transaction ID: 2LD77574LD387461G
https://www.paypal.com/activity/payment/2LD77574LD387461G",PayPal Bank 3,--,$994.58,"$949,742.12"
Donations directed by individuals,09/22/2023,Deposit,2LD77574LD387461G,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,"$1,040.76","$950,782.88"
PayPal Fees,09/22/2023,Deposit,2LD77574LD387461G,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$46.18,"$950,829.06"
PayPal Bank 3,09/22/2023,Deposit,98V909275B325961F,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Note: Люті Пташки ��
Transaction ID: 98V909275B325961F
https://www.paypal.com/activity/payment/98V909275B325961F",PayPal Bank 3,--,$500.00,"$951,329.06"
Donations directed by individuals,09/22/2023,Deposit,98V909275B325961F,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$515.38,"$951,844.44"
PayPal Fees,09/22/2023,Deposit,98V909275B325961F,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$15.38,"$951,859.82"
PayPal Bank 3,09/22/2023,Deposit,4EX964657F3761311,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 4EX964657F3761311
https://www.paypal.com/activity/payment/4EX964657F3761311",PayPal Bank 3,--,$30.00,"$951,889.82"
Donations directed by individuals,09/22/2023,Deposit,4EX964657F3761311,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$31.40,"$951,921.22"
PayPal Fees,09/22/2023,Deposit,4EX964657F3761311,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.40,"$951,922.62"
PayPal Bank 3,09/22/2023,Deposit,3BE95191SX641741C,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 3BE95191SX641741C
https://www.paypal.com/activity/payment/3BE95191SX641741C",PayPal Bank 3,--,$14.76,"$951,937.38"
Donations directed by individuals,09/22/2023,Deposit,3BE95191SX641741C,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$15.95,"$951,953.33"
PayPal Fees,09/22/2023,Deposit,3BE95191SX641741C,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.19,"$951,954.52"
PayPal Bank 3,09/22/2023,Deposit,8VX5974100957144H,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 8VX5974100957144H
https://www.paypal.com/activity/payment/8VX5974100957144H",PayPal Bank 3,--,$47.31,"$952,001.83"
Donations directed by individuals,09/22/2023,Deposit,8VX5974100957144H,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$50.00,"$952,051.83"
PayPal Fees,09/22/2023,Deposit,8VX5974100957144H,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.69,"$952,054.52"
PayPal Bank 3,09/22/2023,Deposit,5BF57335UK302950T,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 5BF57335UK302950T
https://www.paypal.com/activity/payment/5BF57335UK302950T",PayPal Bank 3,--,$28.19,"$952,082.71"
Donations directed by individuals,09/22/2023,Deposit,5BF57335UK302950T,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$30.00,"$952,112.71"
PayPal Fees,09/22/2023,Deposit,5BF57335UK302950T,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.81,"$952,114.52"
PayPal Bank 3,09/22/2023,Deposit,88R72027XJ8218152,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 88R72027XJ8218152
https://www.paypal.com/activity/payment/88R72027XJ8218152",PayPal Bank 3,--,$96.62,"$952,211.14"
Donations directed by individuals,09/22/2023,Deposit,88R72027XJ8218152,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$952,311.14"
PayPal Fees,09/22/2023,Deposit,88R72027XJ8218152,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.38,"$952,314.52"
PayPal Bank 3,09/22/2023,Deposit,4MN32152SX955471L,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 4MN32152SX955471L
https://www.paypal.com/activity/payment/4MN32152SX955471L",PayPal Bank 3,--,$50.00,"$952,364.52"
Donations directed by individuals,09/22/2023,Deposit,4MN32152SX955471L,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.99,"$952,416.51"
PayPal Fees,09/22/2023,Deposit,4MN32152SX955471L,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.99,"$952,418.50"
PayPal Bank 3,09/22/2023,Deposit,70A72190YN600950P,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 70A72190YN600950P
https://www.paypal.com/activity/payment/70A72190YN600950P",PayPal Bank 3,--,$9.07,"$952,427.57"
Donations directed by individuals,09/22/2023,Deposit,70A72190YN600950P,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00,"$952,437.57"
PayPal Fees,09/22/2023,Deposit,70A72190YN600950P,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.93,"$952,438.50"
PayPal Bank 3,09/22/2023,Deposit,2DY63223TM858493R,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 2DY63223TM858493R
https://www.paypal.com/activity/payment/2DY63223TM858493R",PayPal Bank 3,--,$20.00,"$952,458.50"
Donations directed by individuals,09/22/2023,Deposit,2DY63223TM858493R,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$21.10,"$952,479.60"
PayPal Fees,09/22/2023,Deposit,2DY63223TM858493R,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.10,"$952,480.70"
PayPal Bank 3,09/22/2023,Deposit,0FH76093L51733101,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 0FH76093L51733101
https://www.paypal.com/activity/payment/0FH76093L51733101",PayPal Bank 3,--,$98.45,"$952,579.15"
Donations directed by individuals,09/22/2023,Deposit,0FH76093L51733101,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$103.48,"$952,682.63"
PayPal Fees,09/22/2023,Deposit,0FH76093L51733101,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$5.03,"$952,687.66"
PayPal Bank 3,09/22/2023,Deposit,0CG2119248214310C,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 0CG2119248214310C
https://www.paypal.com/activity/payment/0CG2119248214310C",PayPal Bank 3,--,$95.12,"$952,782.78"
Donations directed by individuals,09/22/2023,Deposit,0CG2119248214310C,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$952,882.78"
PayPal Fees,09/22/2023,Deposit,0CG2119248214310C,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.88,"$952,887.66"
PayPal Bank 3,09/22/2023,Deposit,80A025750J500623F,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 80A025750J500623F
https://www.paypal.com/activity/payment/80A025750J500623F",PayPal Bank 3,--,$9.07,"$952,896.73"
Donations directed by individuals,09/22/2023,Deposit,80A025750J500623F,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00,"$952,906.73"
PayPal Fees,09/22/2023,Deposit,80A025750J500623F,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.93,"$952,907.66"
PayPal Bank 3,09/22/2023,Deposit,4JL04943YH006240P,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 4JL04943YH006240P
https://www.paypal.com/activity/payment/4JL04943YH006240P",PayPal Bank 3,--,$14.76,"$952,922.42"
Donations directed by individuals,09/22/2023,Deposit,4JL04943YH006240P,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$15.95,"$952,938.37"
PayPal Fees,09/22/2023,Deposit,4JL04943YH006240P,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.19,"$952,939.56"
PayPal Bank 3,09/22/2023,Deposit,51M38814SL765063F,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 51M38814SL765063F
https://www.paypal.com/activity/payment/51M38814SL765063F",PayPal Bank 3,--,$300.00,"$953,239.56"
Donations directed by individuals,09/22/2023,Deposit,51M38814SL765063F,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$309.43,"$953,548.99"
PayPal Fees,09/22/2023,Deposit,51M38814SL765063F,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$9.43,"$953,558.42"
PayPal Bank 3,09/22/2023,Deposit,05499389C0518881F,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 05499389C0518881F
https://www.paypal.com/activity/payment/05499389C0518881F",PayPal Bank 3,--,$95.12,"$953,653.54"
Donations directed by individuals,09/22/2023,Deposit,05499389C0518881F,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$953,753.54"
PayPal Fees,09/22/2023,Deposit,05499389C0518881F,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.88,"$953,758.42"
PayPal Bank 3,09/22/2023,Deposit,1XT62662FB366225Y,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Note: Ми переможемо.
Transaction ID: 1XT62662FB366225Y
https://www.paypal.com/activity/payment/1XT62662FB366225Y",PayPal Bank 3,--,$190.73,"$953,949.15"
Donations directed by individuals,09/22/2023,Deposit,1XT62662FB366225Y,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$200.00,"$954,149.15"
PayPal Fees,09/22/2023,Deposit,1XT62662FB366225Y,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$9.27,"$954,158.42"
PayPal Bank 3,09/22/2023,Deposit,0Y733672AJ748812W,08 VICTORY DRONES RESTR,"Subject: VICTORY DRONES
Transaction ID: 0Y733672AJ748812W
https://www.paypal.com/activity/payment/0Y733672AJ748812W",PayPal Bank 3,--,$100.00,"$954,258.42"
Donations directed by individuals,09/22/2023,Deposit,0Y733672AJ748812W,08 VICTORY DRONES RESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$103.48,"$954,361.90"
PayPal Fees,09/22/2023,Deposit,0Y733672AJ748812W,08 VICTORY DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.48,"$954,365.38"
PayPal Bank 3,09/22/2023,Deposit,7HB57059SM714743R,07 1000 DRONES RESTR,"Subject: 1000DRONES
Note: Слава героям
Transaction ID: 7HB57059SM714743R
https://www.paypal.com/activity/payment/7HB57059SM714743R",PayPal Bank 3,--,$50.00,"$954,415.38"
Donations directed by individuals,09/22/2023,Deposit,7HB57059SM714743R,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.99,"$954,467.37"
PayPal Fees,09/22/2023,Deposit,7HB57059SM714743R,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.99,"$954,469.36"
PayPal Bank 3,09/22/2023,Deposit,22T99695A3220662T,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 22T99695A3220662T
https://www.paypal.com/activity/payment/22T99695A3220662T",PayPal Bank 3,--,$50.00,"$954,519.36"
Donations directed by individuals,09/22/2023,Deposit,22T99695A3220662T,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.99,"$954,571.35"
PayPal Fees,09/22/2023,Deposit,22T99695A3220662T,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.99,"$954,573.34"
PayPal Bank 3,09/22/2023,Deposit,6J042545AX873720B,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 6J042545AX873720B
https://www.paypal.com/activity/payment/6J042545AX873720B",PayPal Bank 3,--,$10.00,"$954,583.34"
Donations directed by individuals,09/22/2023,Deposit,6J042545AX873720B,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.80,"$954,594.14"
PayPal Fees,09/22/2023,Deposit,6J042545AX873720B,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.80,"$954,594.94"
PayPal Bank 3,09/22/2023,Deposit,7E143065673282902,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 7E143065673282902
https://www.paypal.com/activity/payment/7E143065673282902",PayPal Bank 3,--,$4.29,"$954,599.23"
Donations directed by individuals,09/22/2023,Deposit,7E143065673282902,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$5.00,"$954,604.23"
PayPal Fees,09/22/2023,Deposit,7E143065673282902,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.71,"$954,604.94"
PayPal Bank 3,09/22/2023,Deposit,3LT35620N3992273U,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 3LT35620N3992273U
https://www.paypal.com/activity/payment/3LT35620N3992273U",PayPal Bank 3,--,$19.68,"$954,624.62"
Donations directed by individuals,09/22/2023,Deposit,3LT35620N3992273U,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$21.10,"$954,645.72"
PayPal Fees,09/22/2023,Deposit,3LT35620N3992273U,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.42,"$954,647.14"
PayPal Bank 3,09/22/2023,Deposit,68E79011LT664441F,04 PAYPAL GENERAL UNRESTR,"Subject: GeneralPage
Transaction ID: 68E79011LT664441F
https://www.paypal.com/activity/payment/68E79011LT664441F",PayPal Bank 3,--,$9.84,"$954,656.98"
Donations directed by individuals,09/22/2023,Deposit,68E79011LT664441F,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.80,"$954,667.78"
PayPal Fees,09/22/2023,Deposit,68E79011LT664441F,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.96,"$954,668.74"
